Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,paypal.com,Finance > Banking Credit and Lending,=,00:03:31,5.26,22.99%
2,chase.com,Finance > Banking Credit and Lending,=,00:07:13,10.37,17.36%
3,caixa.gov.br,Finance > Banking Credit and Lending,=,00:05:13,4.66,39.14%
4,capitalone.com,Finance > Banking Credit and Lending,=,00:05:25,8.1,20.73%
5,wellsfargo.com,Finance > Banking Credit and Lending,=,00:05:51,11.7,17.08%
6,bankofamerica.com,Finance > Banking Credit and Lending,=,00:06:32,7.7,17.80%
7,americanexpress.com,Finance > Banking Credit and Lending,=,00:04:45,6.23,27.97%
8,citi.com,Finance > Banking Credit and Lending,=,00:15:43,6.47,27.03%
9,bancoestado.cl,Finance > Banking Credit and Lending,2,00:04:14,5.83,17.57%
10,tinkoff.ru,Finance > Banking Credit and Lending,1,00:05:35,5.56,57.51%
11,hdfcbank.com,Finance > Banking Credit and Lending,1,00:05:55,5.75,26.42%
12,bwanet.ca,Finance > Banking Credit and Lending,=,00:03:45,2.18,49%
13,discover.com,Finance > Banking Credit and Lending,1,00:04:06,5.91,22.19%
14,creditkarma.com,Finance > Banking Credit and Lending,1,00:03:03,5.62,28.67%
15,wise.com,Finance > Banking Credit and Lending,1,00:03:31,5.38,50.04%
16,synchrony.com,Finance > Banking Credit and Lending,1,00:03:36,3.81,25.70%
17,sberbank.ru,Finance > Banking Credit and Lending,2,00:07:12,9.08,30.12%
18,td.com,Finance > Banking Credit and Lending,=,00:05:19,9.45,22.07%
19,syf.com,Finance > Banking Credit and Lending,1,00:02:43,3.7,40.18%
20,icicibank.com,Finance > Banking Credit and Lending,1,00:08:00,8.21,22.28%
21,serasa.com.br,Finance > Banking Credit and Lending,=,00:04:48,7.07,35.44%
22,usbank.com,Finance > Banking Credit and Lending,2,00:05:47,7.22,20.40%
23,alfabank.ru,Finance > Banking Credit and Lending,1,00:05:06,5.59,30.40%
24,maybank2u.com.my,Finance > Banking Credit and Lending,2,00:06:37,8.52,24.32%
25,royalbank.com,Finance > Banking Credit and Lending,=,00:06:43,15.55,9.52%
26,pnc.com,Finance > Banking Credit and Lending,1,00:04:20,3.66,24.68%
27,ing.nl,Finance > Banking Credit and Lending,4,00:03:31,4.81,24.46%
28,rabobank.nl,Finance > Banking Credit and Lending,2,00:03:36,4.86,28.97%
29,commbank.com.au,Finance > Banking Credit and Lending,1,00:04:50,8.01,16.61%
30,citibankonline.com,Finance > Banking Credit and Lending,3,00:04:40,4.15,28.87%
31,rakuten-bank.co.jp,Finance > Banking Credit and Lending,6,00:03:30,7.51,26.74%
32,banki.ru,Finance > Banking Credit and Lending,9,00:03:06,2.85,59.41%
33,bmo.com,Finance > Banking Credit and Lending,1,00:05:45,9.11,16.84%
34,yonobusiness.sbi,Finance > Banking Credit and Lending,5,00:05:07,3.14,34.29%
35,bb.com.br,Finance > Banking Credit and Lending,3,00:06:34,4.82,45.54%
36,rbcroyalbank.com,Finance > Banking Credit and Lending,=,00:03:17,2.14,43.20%
37,itau.com.br,Finance > Banking Credit and Lending,3,00:04:31,4.33,40.35%
38,interac.ca,Finance > Banking Credit and Lending,3,00:01:44,2.19,52.93%
39,healthy.kaiserpermanente.org,Finance > Banking Credit and Lending,4,00:06:35,6.45,31.27%
40,scotiabank.com,Finance > Banking Credit and Lending,6,00:05:47,7.38,22.94%
41,adjust.net.in,Finance > Banking Credit and Lending,4,00:01:13,1.43,75.18%
42,caixabank.es,Finance > Banking Credit and Lending,2,00:05:21,5.26,15.56%
43,cibc.com,Finance > Banking Credit and Lending,8,00:05:32,9.92,19.36%
44,santander.com.br,Finance > Banking Credit and Lending,1,00:03:17,3.59,41.60%
45,securecafe.com,Finance > Banking Credit and Lending,2,00:04:14,5.56,31.06%
46,navyfederal.org,Finance > Banking Credit and Lending,6,00:06:09,9.23,20.02%
47,ipko.pl,Finance > Banking Credit and Lending,3,00:06:48,5.74,13.19%
48,desenrola.gov.br,Finance > Banking Credit and Lending,9,00:01:42,2.92,54.29%
49,santander.co.uk,Finance > Banking Credit and Lending,7,00:05:34,9.9,17.54%
50,cox.com,Finance > Banking Credit and Lending,2,00:05:41,5.07,29.88%
